"filename", "language", "YAML", "Markdown", "Dart", "JSON", "HTML", "Groovy", "XML", "Properties", "Swift", "C++", "comment", "blank", "total"
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/SideBarScreens/adderss.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 17, 7, 61
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/SideBarScreens/contact_us.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/SideBarScreens/faq.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/SideBarScreens/household.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/SideBarScreens/password.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/SideBarScreens/paymentmethod.dart", "Dart", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 10, 7, 116
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/SideBarScreens/terms_and_condition.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/SideBarScreens/user_info.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/widget/custom_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/widget/heart.dart", "Dart", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 3, 9, 68
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/widget/itemcard.dart", "Dart", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 10, 184
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/widget/list_item_details.dart", "Dart", 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 23, 330
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/widget/list_item_filter_menu.dart", "Dart", 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 10, 276
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/widget/list_item_settings.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/widget/show_profile.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/widget/skeleton_container.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/screens/widget/user_data_details.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 8, 8, 76
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/signup.dart", "Dart", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 1, 3, 105
"/Users/ztlab66/Documents/utkarsh/login_signup/lib/utils/database_helper.dart", "Dart", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 23, 29, 197
"/Users/ztlab66/Documents/utkarsh/login_signup/pubspec.yaml", "YAML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 8, 95
"/Users/ztlab66/Documents/utkarsh/login_signup/test/widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/ztlab66/Documents/utkarsh/login_signup/web/index.html", "HTML", 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 18, 7, 105
"/Users/ztlab66/Documents/utkarsh/login_signup/web/manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 41, 13, 2484, 180, 80, 93, 125, 8, 12, 1, 360, 318, 3715
